Ticket_ID,Source_System,Email_Received_Date,Sender,Subject,Email_Body,Priority,Status,Category,Assigned_Team,SLA_Due_Date,Closed_Date
INC1000001,ServiceNow,2026-01-14,servicenow@company.com,INC1000001 | High | Access Issue | Open - Permission Issue,Ticket ID: INC1000001 | Priority: High | Status: Open | Assigned Team: Vendor Support | Issue: permission issue | Category: Access Issue | Created Date: 2026-01-14 | SLA Due Date: 2026-01-16,High,Open,Access Issue,Data Support,2026-01-16,
INC1000012,ServiceNow,2026-03-01,servicenow@company.com,INC1000012 | Critical | System Error | In Progress - Server Error,Ticket ID: INC1000012 | Priority: Critical | Status: In Progress | Assigned Team: Vendor Support | Issue: server error | Category: System Error | Created Date: 2026-03-01 | SLA Due Date: 2026-03-02,Critical,In Progress,System Error,Data Support,2026-03-02,
INC1000013,ServiceNow,2026-02-07,servicenow@company.com,INC1000013 | Low | Process Delay | In Progress - Late File Arrival,Ticket ID: INC1000013 | Priority: Low | Status: In Progress | Assigned Team: Application Support | Issue: late file arrival | Category: Process Delay | Created Date: 2026-02-07 | SLA Due Date: 2026-02-14,Low,In Progress,Process Delay,Data Support,2026-02-14,
FG1000014,Fieldglass,2026-03-22,fieldglass@company.com,FG1000014 | Medium | Process Delay | Open - Pending Approval,Ticket ID: FG1000014 | Priority: Medium | Status: Open | Assigned Team: Vendor Support | Issue: pending approval | Category: Process Delay | Created Date: 2026-03-22 | SLA Due Date: 2026-03-26,Medium,Open,Process Delay,Vendor Support,2026-03-26,
INC1000015,ServiceNow,2026-04-10,servicenow@company.com,INC1000015 | Low | Data Quality Issue | Pending Business - Invalid Trade Id,Ticket ID: INC1000015 | Priority: Low | Status: Pending Business | Assigned Team: Data Support | Issue: invalid trade id | Category: Data Quality Issue | Created Date: 2026-04-10 | SLA Due Date: 2026-04-17,Low,Pending Business,Data Quality Issue,Vendor Support,2026-04-17,
FG1000016,Fieldglass,2026-04-17,fieldglass@company.com,FG1000016 | High | System Error | In Progress - Job Failed,Ticket ID: FG1000016 | Priority: High | Status: In Progress | Assigned Team: Data Support | Issue: job failed | Category: System Error | Created Date: 2026-04-17 | SLA Due Date: 2026-04-19,High,In Progress,System Error,Reporting Team,2026-04-19,
INC1000017,ServiceNow,2026-03-10,servicenow@company.com,INC1000017 | Low | Access Issue | Closed - Role Missing,Ticket ID: INC1000017 | Priority: Low | Status: Closed | Assigned Team: Vendor Support | Issue: role missing | Category: Access Issue | Created Date: 2026-03-10 | SLA Due Date: 2026-03-17,Low,Closed,Access Issue,Reporting Team,2026-03-17,2026-03-21
FG1000018,Fieldglass,2026-03-11,fieldglass@company.com,FG1000018 | Medium | Process Delay | Open - Queue Backlog,Ticket ID: FG1000018 | Priority: Medium | Status: Open | Assigned Team: Reporting Team | Issue: queue backlog | Category: Process Delay | Created Date: 2026-03-11 | SLA Due Date: 2026-03-15,Medium,Open,Process Delay,Access Management,2026-03-15,
FG1000019,Fieldglass,2026-02-01,fieldglass@company.com,FG1000019 | Low | Reporting Issue | In Progress - Power Bi Error,Ticket ID: FG1000019 | Priority: Low | Status: In Progress | Assigned Team: Access Management | Issue: Power BI error | Category: Reporting Issue | Created Date: 2026-02-01 | SLA Due Date: 2026-02-08,Low,In Progress,Reporting Issue,Data Support,2026-02-08,
INC1000020,ServiceNow,2026-01-08,servicenow@company.com,INC1000020 | Critical | Process Delay | Resolved - Pending Approval,Ticket ID: INC1000020 | Priority: Critical | Status: Resolved | Assigned Team: Data Support | Issue: pending approval | Category: Process Delay | Created Date: 2026-01-08 | SLA Due Date: 2026-01-09,Critical,Resolved,Process Delay,Vendor Support,2026-01-09,2026-01-08
INC1000021,ServiceNow,2026-04-30,servicenow@company.com,INC1000021 | High | Reporting Issue | Open - Power Bi Error,Ticket ID: INC1000021 | Priority: High | Status: Open | Assigned Team: Application Support | Issue: Power BI error | Category: Reporting Issue | Created Date: 2026-04-30 | SLA Due Date: 2026-05-02,High,Open,Reporting Issue,Reporting Team,2026-05-02,
FG1000022,Fieldglass,2026-02-15,fieldglass@company.com,FG1000022 | High | System Error | Resolved - Api Error,Ticket ID: FG1000022 | Priority: High | Status: Resolved | Assigned Team: Data Support | Issue: API error | Category: System Error | Created Date: 2026-02-15 | SLA Due Date: 2026-02-17,High,Resolved,System Error,Data Support,2026-02-17,2026-02-22
FG1000023,Fieldglass,2026-02-27,fieldglass@company.com,FG1000023 | High | Reporting Issue | Open - Dashboard Mismatch,Ticket ID: FG1000023 | Priority: High | Status: Open | Assigned Team: Reporting Team | Issue: dashboard mismatch | Category: Reporting Issue | Created Date: 2026-02-27 | SLA Due Date: 2026-03-01,High,Open,Reporting Issue,Access Management,2026-03-01,
FG1000024,Fieldglass,2026-03-12,fieldglass@company.com,FG1000024 | Medium | Data Quality Issue | Closed - Missing Value,Ticket ID: FG1000024 | Priority: Medium | Status: Closed | Assigned Team: Data Support | Issue: missing value | Category: Data Quality Issue | Created Date: 2026-03-12 | SLA Due Date: 2026-03-16,Medium,Closed,Data Quality Issue,Reporting Team,2026-03-16,2026-03-20
INC1000025,ServiceNow,2026-04-26,servicenow@company.com,INC1000025 | Medium | System Error | Closed - Interface Failure,Ticket ID: INC1000025 | Priority: Medium | Status: Closed | Assigned Team: Application Support | Issue: interface failure | Category: System Error | Created Date: 2026-04-26 | SLA Due Date: 2026-04-30,Medium,Closed,System Error,Access Management,2026-04-30,2026-05-02
FG1000026,Fieldglass,2026-04-11,fieldglass@company.com,FG1000026 | Medium | Reporting Issue | Resolved - Power Bi Error,Ticket ID: FG1000026 | Priority: Medium | Status: Resolved | Assigned Team: Reporting Team | Issue: Power BI error | Category: Reporting Issue | Created Date: 2026-04-11 | SLA Due Date: 2026-04-15,Medium,Resolved,Reporting Issue,Access Management,2026-04-15,2026-04-18
INC1000027,ServiceNow,2026-02-10,servicenow@company.com,INC1000027 | Medium | Access Issue | Open - Mfa Issue,Ticket ID: INC1000027 | Priority: Medium | Status: Open | Assigned Team: Vendor Support | Issue: MFA issue | Category: Access Issue | Created Date: 2026-02-10 | SLA Due Date: 2026-02-14,Medium,Open,Access Issue,Application Support,2026-02-14,
INC1000028,ServiceNow,2026-03-18,servicenow@company.com,INC1000028 | High | Access Issue | Open - Mfa Issue,Ticket ID: INC1000028 | Priority: High | Status: Open | Assigned Team: Reporting Team | Issue: MFA issue | Category: Access Issue | Created Date: 2026-03-18 | SLA Due Date: 2026-03-20,High,Open,Access Issue,Application Support,2026-03-20,
INC1000029,ServiceNow,2026-01-11,servicenow@company.com,INC1000029 | Medium | Process Delay | Open - Pending Approval,Ticket ID: INC1000029 | Priority: Medium | Status: Open | Assigned Team: Vendor Support | Issue: pending approval | Category: Process Delay | Created Date: 2026-01-11 | SLA Due Date: 2026-01-15,Medium,Open,Process Delay,Vendor Support,2026-01-15,
FG1000030,Fieldglass,2026-02-03,fieldglass@company.com,FG1000030 | Medium | Reporting Issue | In Progress - Report Refresh Failed,Ticket ID: FG1000030 | Priority: Medium | Status: In Progress | Assigned Team: Access Management | Issue: report refresh failed | Category: Reporting Issue | Created Date: 2026-02-03 | SLA Due Date: 2026-02-07,Medium,In Progress,Reporting Issue,Application Support,2026-02-07,
FG1000031,Fieldglass,2026-01-13,fieldglass@company.com,FG1000031 | Medium | Access Issue | Closed - Access Denied,Ticket ID: FG1000031 | Priority: Medium | Status: Closed | Assigned Team: Access Management | Issue: access denied | Category: Access Issue | Created Date: 2026-01-13 | SLA Due Date: 2026-01-17,Medium,Closed,Access Issue,Reporting Team,2026-01-17,2026-01-17
FG1000032,Fieldglass,2026-04-17,fieldglass@company.com,FG1000032 | Medium | Access Issue | Open - Login Failure,Ticket ID: FG1000032 | Priority: Medium | Status: Open | Assigned Team: Access Management | Issue: login failure | Category: Access Issue | Created Date: 2026-04-17 | SLA Due Date: 2026-04-21,Medium,Open,Access Issue,Vendor Support,2026-04-21,
INC1000033,ServiceNow,2026-04-23,servicenow@company.com,INC1000033 | Low | Process Delay | Open - Late File Arrival,Ticket ID: INC1000033 | Priority: Low | Status: Open | Assigned Team: Data Support | Issue: late file arrival | Category: Process Delay | Created Date: 2026-04-23 | SLA Due Date: 2026-04-30,Low,Open,Process Delay,Data Support,2026-04-30,
INC1000034,ServiceNow,2026-01-27,servicenow@company.com,INC1000034 | Medium | Reporting Issue | Resolved - Wrong Kpi,Ticket ID: INC1000034 | Priority: Medium | Status: Resolved | Assigned Team: Application Support | Issue: wrong KPI | Category: Reporting Issue | Created Date: 2026-01-27 | SLA Due Date: 2026-01-31,Medium,Resolved,Reporting Issue,Access Management,2026-01-31,2026-02-01
INC1000035,ServiceNow,2026-02-12,servicenow@company.com,INC1000035 | Low | Access Issue | Open - Role Missing,Ticket ID: INC1000035 | Priority: Low | Status: Open | Assigned Team: Access Management | Issue: role missing | Category: Access Issue | Created Date: 2026-02-12 | SLA Due Date: 2026-02-19,Low,Open,Access Issue,Reporting Team,2026-02-19,
FG1000036,Fieldglass,2026-05-01,fieldglass@company.com,FG1000036 | Medium | Process Delay | Open - Vendor Delay,Ticket ID: FG1000036 | Priority: Medium | Status: Open | Assigned Team: Reporting Team | Issue: vendor delay | Category: Process Delay | Created Date: 2026-05-01 | SLA Due Date: 2026-05-05,Medium,Open,Process Delay,Vendor Support,2026-05-05,
INC1000037,ServiceNow,2026-01-06,servicenow@company.com,INC1000037 | Medium | Reporting Issue | In Progress - Tableau Variance,Ticket ID: INC1000037 | Priority: Medium | Status: In Progress | Assigned Team: Data Support | Issue: Tableau variance | Category: Reporting Issue | Created Date: 2026-01-06 | SLA Due Date: 2026-01-10,Medium,In Progress,Reporting Issue,Access Management,2026-01-10,
INC1000038,ServiceNow,2026-04-22,servicenow@company.com,INC1000038 | Medium | Data Quality Issue | Pending Business - Missing Value,Ticket ID: INC1000038 | Priority: Medium | Status: Pending Business | Assigned Team: Reporting Team | Issue: missing value | Category: Data Quality Issue | Created Date: 2026-04-22 | SLA Due Date: 2026-04-26,Medium,Pending Business,Data Quality Issue,Reporting Team,2026-04-26,
INC1000039,ServiceNow,2026-02-12,servicenow@company.com,INC1000039 | Critical | Data Quality Issue | Resolved - Broken Reference,Ticket ID: INC1000039 | Priority: Critical | Status: Resolved | Assigned Team: Access Management | Issue: broken reference | Category: Data Quality Issue | Created Date: 2026-02-12 | SLA Due Date: 2026-02-13,Critical,Resolved,Data Quality Issue,Reporting Team,2026-02-13,2026-02-17
INC1000040,ServiceNow,2026-04-15,servicenow@company.com,INC1000040 | Low | System Error | In Progress - Job Failed,Ticket ID: INC1000040 | Priority: Low | Status: In Progress | Assigned Team: Access Management | Issue: job failed | Category: System Error | Created Date: 2026-04-15 | SLA Due Date: 2026-04-22,Low,In Progress,System Error,Reporting Team,2026-04-22,
INC1000041,ServiceNow,2026-01-09,servicenow@company.com,INC1000041 | Medium | Access Issue | In Progress - Login Failure,Ticket ID: INC1000041 | Priority: Medium | Status: In Progress | Assigned Team: Vendor Support | Issue: login failure | Category: Access Issue | Created Date: 2026-01-09 | SLA Due Date: 2026-01-13,Medium,In Progress,Access Issue,Application Support,2026-01-13,
FG1000042,Fieldglass,2026-03-16,fieldglass@company.com,FG1000042 | Low | Access Issue | In Progress - Access Denied,Ticket ID: FG1000042 | Priority: Low | Status: In Progress | Assigned Team: Data Support | Issue: access denied | Category: Access Issue | Created Date: 2026-03-16 | SLA Due Date: 2026-03-23,Low,In Progress,Access Issue,Vendor Support,2026-03-23,
FG1000043,Fieldglass,2026-01-15,fieldglass@company.com,FG1000043 | Medium | Reporting Issue | Closed - Wrong Kpi,Ticket ID: FG1000043 | Priority: Medium | Status: Closed | Assigned Team: Access Management | Issue: wrong KPI | Category: Reporting Issue | Created Date: 2026-01-15 | SLA Due Date: 2026-01-19,Medium,Closed,Reporting Issue,Data Support,2026-01-19,2026-01-24
FG1000044,Fieldglass,2026-04-03,fieldglass@company.com,FG1000044 | Low | Access Issue | Pending Business - Mfa Issue,Ticket ID: FG1000044 | Priority: Low | Status: Pending Business | Assigned Team: Reporting Team | Issue: MFA issue | Category: Access Issue | Created Date: 2026-04-03 | SLA Due Date: 2026-04-10,Low,Pending Business,Access Issue,Access Management,2026-04-10,
FG1000045,Fieldglass,2026-01-16,fieldglass@company.com,FG1000045 | Medium | Access Issue | Resolved - Permission Issue,Ticket ID: FG1000045 | Priority: Medium | Status: Resolved | Assigned Team: Access Management | Issue: permission issue | Category: Access Issue | Created Date: 2026-01-16 | SLA Due Date: 2026-01-20,Medium,Resolved,Access Issue,Application Support,2026-01-20,2026-01-21
FG1000046,Fieldglass,2026-03-27,fieldglass@company.com,FG1000046 | Medium | System Error | Open - Timeout,Ticket ID: FG1000046 | Priority: Medium | Status: Open | Assigned Team: Reporting Team | Issue: timeout | Category: System Error | Created Date: 2026-03-27 | SLA Due Date: 2026-03-31,Medium,Open,System Error,Vendor Support,2026-03-31,
FG1000047,Fieldglass,2026-01-27,fieldglass@company.com,FG1000047 | Low | System Error | In Progress - Server Error,Ticket ID: FG1000047 | Priority: Low | Status: In Progress | Assigned Team: Vendor Support | Issue: server error | Category: System Error | Created Date: 2026-01-27 | SLA Due Date: 2026-02-03,Low,In Progress,System Error,Vendor Support,2026-02-03,
FG1000048,Fieldglass,2026-03-02,fieldglass@company.com,FG1000048 | Medium | System Error | Open - Interface Failure,Ticket ID: FG1000048 | Priority: Medium | Status: Open | Assigned Team: Data Support | Issue: interface failure | Category: System Error | Created Date: 2026-03-02 | SLA Due Date: 2026-03-06,Medium,Open,System Error,Access Management,2026-03-06,
FG1000049,Fieldglass,2026-01-26,fieldglass@company.com,FG1000049 | Medium | Access Issue | In Progress - Login Failure,Ticket ID: FG1000049 | Priority: Medium | Status: In Progress | Assigned Team: Data Support | Issue: login failure | Category: Access Issue | Created Date: 2026-01-26 | SLA Due Date: 2026-01-30,Medium,In Progress,Access Issue,Reporting Team,2026-01-30,
FG1000050,Fieldglass,2026-03-15,fieldglass@company.com,FG1000050 | Medium | Process Delay | Closed - Sla Delay,Ticket ID: FG1000050 | Priority: Medium | Status: Closed | Assigned Team: Application Support | Issue: SLA delay | Category: Process Delay | Created Date: 2026-03-15 | SLA Due Date: 2026-03-19,Medium,Closed,Process Delay,Reporting Team,2026-03-19,2026-03-22
INC1000051,ServiceNow,2026-04-13,servicenow@company.com,INC1000051 | Low | Access Issue | Open - Access Denied,Ticket ID: INC1000051 | Priority: Low | Status: Open | Assigned Team: Application Support | Issue: access denied | Category: Access Issue | Created Date: 2026-04-13 | SLA Due Date: 2026-04-20,Low,Open,Access Issue,Data Support,2026-04-20,
INC1000052,ServiceNow,2026-03-09,servicenow@company.com,INC1000052 | High | Access Issue | In Progress - Role Missing,Ticket ID: INC1000052 | Priority: High | Status: In Progress | Assigned Team: Access Management | Issue: role missing | Category: Access Issue | Created Date: 2026-03-09 | SLA Due Date: 2026-03-11,High,In Progress,Access Issue,Application Support,2026-03-11,
FG1000053,Fieldglass,2026-03-02,fieldglass@company.com,FG1000053 | Low | Process Delay | Resolved - Vendor Delay,Ticket ID: FG1000053 | Priority: Low | Status: Resolved | Assigned Team: Access Management | Issue: vendor delay | Category: Process Delay | Created Date: 2026-03-02 | SLA Due Date: 2026-03-09,Low,Resolved,Process Delay,Vendor Support,2026-03-09,2026-03-14
FG1000054,Fieldglass,2026-01-31,fieldglass@company.com,FG1000054 | Medium | Data Quality Issue | Resolved - Invalid Trade Id,Ticket ID: FG1000054 | Priority: Medium | Status: Resolved | Assigned Team: Data Support | Issue: invalid trade id | Category: Data Quality Issue | Created Date: 2026-01-31 | SLA Due Date: 2026-02-04,Medium,Resolved,Data Quality Issue,Reporting Team,2026-02-04,2026-02-06
INC1000055,ServiceNow,2026-01-09,servicenow@company.com,INC1000055 | Medium | Data Quality Issue | Resolved - Broken Reference,Ticket ID: INC1000055 | Priority: Medium | Status: Resolved | Assigned Team: Application Support | Issue: broken reference | Category: Data Quality Issue | Created Date: 2026-01-09 | SLA Due Date: 2026-01-13,Medium,Resolved,Data Quality Issue,Application Support,2026-01-13,2026-01-15
INC1000056,ServiceNow,2026-03-31,servicenow@company.com,INC1000056 | Medium | Data Quality Issue | Resolved - Broken Reference,Ticket ID: INC1000056 | Priority: Medium | Status: Resolved | Assigned Team: Application Support | Issue: broken reference | Category: Data Quality Issue | Created Date: 2026-03-31 | SLA Due Date: 2026-04-04,Medium,Resolved,Data Quality Issue,Data Support,2026-04-04,2026-04-09
FG1000057,Fieldglass,2026-02-23,fieldglass@company.com,FG1000057 | Low | Reporting Issue | Closed - Power Bi Error,Ticket ID: FG1000057 | Priority: Low | Status: Closed | Assigned Team: Vendor Support | Issue: Power BI error | Category: Reporting Issue | Created Date: 2026-02-23 | SLA Due Date: 2026-03-02,Low,Closed,Reporting Issue,Reporting Team,2026-03-02,2026-03-07
FG1000058,Fieldglass,2026-02-13,fieldglass@company.com,FG1000058 | Medium | Data Quality Issue | Open - Invalid Trade Id,Ticket ID: FG1000058 | Priority: Medium | Status: Open | Assigned Team: Application Support | Issue: invalid trade id | Category: Data Quality Issue | Created Date: 2026-02-13 | SLA Due Date: 2026-02-17,Medium,Open,Data Quality Issue,Reporting Team,2026-02-17,
FG1000059,Fieldglass,2026-03-17,fieldglass@company.com,FG1000059 | Medium | Data Quality Issue | Closed - Null Field,Ticket ID: FG1000059 | Priority: Medium | Status: Closed | Assigned Team: Application Support | Issue: null field | Category: Data Quality Issue | Created Date: 2026-03-17 | SLA Due Date: 2026-03-21,Medium,Closed,Data Quality Issue,Reporting Team,2026-03-21,2026-03-17
FG1000060,Fieldglass,2026-02-28,fieldglass@company.com,FG1000060 | High | Data Quality Issue | In Progress - Missing Value,Ticket ID: FG1000060 | Priority: High | Status: In Progress | Assigned Team: Application Support | Issue: missing value | Category: Data Quality Issue | Created Date: 2026-02-28 | SLA Due Date: 2026-03-02,High,In Progress,Data Quality Issue,Access Management,2026-03-02,
FG1000061,Fieldglass,2026-01-07,fieldglass@company.com,FG1000061 | Medium | Reporting Issue | Resolved - Dashboard Mismatch,Ticket ID: FG1000061 | Priority: Medium | Status: Resolved | Assigned Team: Data Support | Issue: dashboard mismatch | Category: Reporting Issue | Created Date: 2026-01-07 | SLA Due Date: 2026-01-11,Medium,Resolved,Reporting Issue,Reporting Team,2026-01-11,2026-01-08
INC1000062,ServiceNow,2026-03-27,servicenow@company.com,INC1000062 | High | Access Issue | Open - Mfa Issue,Ticket ID: INC1000062 | Priority: High | Status: Open | Assigned Team: Reporting Team | Issue: MFA issue | Category: Access Issue | Created Date: 2026-03-27 | SLA Due Date: 2026-03-29,High,Open,Access Issue,Application Support,2026-03-29,
FG1000063,Fieldglass,2026-04-02,fieldglass@company.com,FG1000063 | Medium | Reporting Issue | Closed - Report Refresh Failed,Ticket ID: FG1000063 | Priority: Medium | Status: Closed | Assigned Team: Data Support | Issue: report refresh failed | Category: Reporting Issue | Created Date: 2026-04-02 | SLA Due Date: 2026-04-06,Medium,Closed,Reporting Issue,Vendor Support,2026-04-06,2026-04-04
INC1000064,ServiceNow,2026-02-20,servicenow@company.com,INC1000064 | Medium | Reporting Issue | Closed - Tableau Variance,Ticket ID: INC1000064 | Priority: Medium | Status: Closed | Assigned Team: Reporting Team | Issue: Tableau variance | Category: Reporting Issue | Created Date: 2026-02-20 | SLA Due Date: 2026-02-24,Medium,Closed,Reporting Issue,Data Support,2026-02-24,2026-02-22
FG1000065,Fieldglass,2026-01-06,fieldglass@company.com,FG1000065 | Low | Process Delay | Pending Business - Sla Delay,Ticket ID: FG1000065 | Priority: Low | Status: Pending Business | Assigned Team: Application Support | Issue: SLA delay | Category: Process Delay | Created Date: 2026-01-06 | SLA Due Date: 2026-01-13,Low,Pending Business,Process Delay,Access Management,2026-01-13,
INC1000066,ServiceNow,2026-03-04,servicenow@company.com,INC1000066 | Critical | Process Delay | In Progress - Late File Arrival,Ticket ID: INC1000066 | Priority: Critical | Status: In Progress | Assigned Team: Access Management | Issue: late file arrival | Category: Process Delay | Created Date: 2026-03-04 | SLA Due Date: 2026-03-05,Critical,In Progress,Process Delay,Application Support,2026-03-05,
INC1000067,ServiceNow,2026-02-04,servicenow@company.com,INC1000067 | Medium | System Error | Closed - Api Error,Ticket ID: INC1000067 | Priority: Medium | Status: Closed | Assigned Team: Application Support | Issue: API error | Category: System Error | Created Date: 2026-02-04 | SLA Due Date: 2026-02-08,Medium,Closed,System Error,Application Support,2026-02-08,2026-02-13
FG1000068,Fieldglass,2026-04-23,fieldglass@company.com,FG1000068 | Low | Reporting Issue | Open - Report Refresh Failed,Ticket ID: FG1000068 | Priority: Low | Status: Open | Assigned Team: Application Support | Issue: report refresh failed | Category: Reporting Issue | Created Date: 2026-04-23 | SLA Due Date: 2026-04-30,Low,Open,Reporting Issue,Vendor Support,2026-04-30,
FG1000069,Fieldglass,2026-03-04,fieldglass@company.com,FG1000069 | Medium | Reporting Issue | In Progress - Dashboard Mismatch,Ticket ID: FG1000069 | Priority: Medium | Status: In Progress | Assigned Team: Access Management | Issue: dashboard mismatch | Category: Reporting Issue | Created Date: 2026-03-04 | SLA Due Date: 2026-03-08,Medium,In Progress,Reporting Issue,Access Management,2026-03-08,
FG1000070,Fieldglass,2026-01-25,fieldglass@company.com,FG1000070 | Medium | Process Delay | Pending Business - Late File Arrival,Ticket ID: FG1000070 | Priority: Medium | Status: Pending Business | Assigned Team: Application Support | Issue: late file arrival | Category: Process Delay | Created Date: 2026-01-25 | SLA Due Date: 2026-01-29,Medium,Pending Business,Process Delay,Application Support,2026-01-29,
INC1000071,ServiceNow,2026-02-07,servicenow@company.com,INC1000071 | Medium | System Error | Open - Interface Failure,Ticket ID: INC1000071 | Priority: Medium | Status: Open | Assigned Team: Reporting Team | Issue: interface failure | Category: System Error | Created Date: 2026-02-07 | SLA Due Date: 2026-02-11,Medium,Open,System Error,Access Management,2026-02-11,
FG1000072,Fieldglass,2026-04-06,fieldglass@company.com,FG1000072 | Medium | System Error | In Progress - Server Error,Ticket ID: FG1000072 | Priority: Medium | Status: In Progress | Assigned Team: Access Management | Issue: server error | Category: System Error | Created Date: 2026-04-06 | SLA Due Date: 2026-04-10,Medium,In Progress,System Error,Application Support,2026-04-10,
FG1000073,Fieldglass,2026-02-10,fieldglass@company.com,FG1000073 | High | Reporting Issue | Resolved - Wrong Kpi,Ticket ID: FG1000073 | Priority: High | Status: Resolved | Assigned Team: Reporting Team | Issue: wrong KPI | Category: Reporting Issue | Created Date: 2026-02-10 | SLA Due Date: 2026-02-12,High,Resolved,Reporting Issue,Application Support,2026-02-12,2026-02-12
FG1000074,Fieldglass,2026-04-17,fieldglass@company.com,FG1000074 | Medium | Process Delay | Closed - Queue Backlog,Ticket ID: FG1000074 | Priority: Medium | Status: Closed | Assigned Team: Reporting Team | Issue: queue backlog | Category: Process Delay | Created Date: 2026-04-17 | SLA Due Date: 2026-04-21,Medium,Closed,Process Delay,Access Management,2026-04-21,2026-04-20
INC1000075,ServiceNow,2026-03-12,servicenow@company.com,INC1000075 | High | Process Delay | Closed - Pending Approval,Ticket ID: INC1000075 | Priority: High | Status: Closed | Assigned Team: Data Support | Issue: pending approval | Category: Process Delay | Created Date: 2026-03-12 | SLA Due Date: 2026-03-14,High,Closed,Process Delay,Data Support,2026-03-14,2026-03-15
FG1000076,Fieldglass,2026-01-07,fieldglass@company.com,FG1000076 | Medium | System Error | Open - Interface Failure,Ticket ID: FG1000076 | Priority: Medium | Status: Open | Assigned Team: Application Support | Issue: interface failure | Category: System Error | Created Date: 2026-01-07 | SLA Due Date: 2026-01-11,Medium,Open,System Error,Data Support,2026-01-11,
